,Date received,Consumer complaint narrative
38,2022-03-08,I have not received information to verify this debt.
39,2022-05-16,Bank of america is a very reputable bank and has been for a long time. During covid-19 there was definitely a change in their customer service and dealing with customers day to day basis. I had many problems with my credit card and they were unable to help me. My credit score dropped more than XXXX POINTS! I was experiencing many hardships and they were unable to help. I reached out many many times and got a weak excuse. They need to fix my credit report now.!
40,2022-02-03,"XXXX XXXX {$0.00} 15 U.S. Code 1681i - Procedure in case of disputed accuracy ( A ) In general Before the expiration of the 5-business-day period beginning on the date on which a consumer reporting agency receives notice of a dispute from any consumer or a reseller in accordance with paragraph ( 1 ), the agency shall provide notification of the dispute to any person who provided any item of information in dispute, at the address and in the manner established with the person. The notice shall include all relevant information regarding the dispute that the agency has received from the consumer or reseller.

( B ) Provision of other information The consumer reporting agency shall promptly provide to the person who provided the information in dispute all relevant information regarding the dispute that is received by the agency from the consumer or the reseller after the period referred to in subparagraph ( A ) and before the end of the period referred to in paragraph ( 1 ) ( A )."
41,2022-04-29,"I sent disputed to XXXX, XXXX and Experian for inaccurate information reporting on my credit report. I listed the accounts and told them Of violations they were making to my consumer report. It has been now over 30 days and have failed to respond. I a

m attaching a Copy of all letters sent below. This company has violated FCRA 623 ( a ) b ) by failing to mark this disputed account as disputed 605 ( c ) running if the period has also been violated as the date of last activity on this account is reporting. When it should reflect the last date a payment was made. This company has continuously failed to validate this collection account further violating FDCPA 809b per the FTC opinion."
42,2022-03-22,"In accordance with the Fair Credit Reporting act XXXX XXXX Account #, XXXX has violated my rights.

15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1666B : A creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for any purpose"
43,2022-05-16,"I AM A NATURAL PERSON & CONSUMER FILING THIS COMPLAINT. 
DO NOT CLOSE THIS COMPLAINT STATING THIS IS NOT ME! 

The tradeline being reported has a derogatory rating which has caused me serious financial and emotional distress. This has caused defamation to my creditworthiness, credit standing, credit capacity, character, general reputation, personal characteristics. 

In order to rectify this situation and ensure my rights have not been violated in any way, I have sent multiple letters and complaints challenging the completeness, accuracy and integrity of the information XXXX is furnishing. 

ACCOUNT # -FULL ACCOUNT NUMBER NOT SHOWN ACCOUNT TYPE DETAIL - DATES DIFFER FROM XXXX XXXX EXPERIAN XXXX XXXX XXXX OPENED-DATES DIFFER FROM XXXX, EXPERIAN XXXX XXXX BALANCE- AMOUNT SHOWN AFTER CHARGEOFF HIGH CREDIT-AMOUNT DIFFER FROM XXXX, EXPERIAN & XXXX PAST DUE- AMOUNT SHOWN AFTER CHARGEOFF LAST REPORTED- DATES DIFFER FROM XXXX, EXPERIAN & XXXX DATE LAST ACTIVE- DATES DIFFER FROM XXXX XXXX EXPERIAN & XXXX XXXX was required to notify me later than 5 days before furnishing the negative information to the consumer reporting agencies, in writing that such furnishing of information was going to take place. This notification is required under the FCRA, section 623, subsection ( 7 ) ( A ). However, I never received documentation that XXXX complied with this requirement."
44,2022-03-07,"To Whom It May Concern, Please be advised that I have received your computer-generated letter stating that you have ceased investigation of my credit reports because, in your opinion, you believe that I have used a third-party credit repair agency. Not only do I believe this to be a stall tactic on your part to grant you an additional 30 days to comply with my original request, but I believe it to be a blatant violation of the FCRA. 

You were advised by me on XX/XX/2022 by certified mail that I questioned the accuracy of a few items on my credit reports. That request was written by me and mailed by me- not a third-party agency. It appears obvious to me that you are abusing your power under the FCRA to escape a complete investigation. 

Here again is the incorrect information being reported : 1. Under 15 USC 1666B this is a billing error always paid as agreed on time this is an error this account in violation. 
XXXX XXXX Account Number : XXXX THIS ACCOUNT IS INACCURATE, I DID NOT INCUR ANY LATE PAYMENTS. PLEASE UPDATE TO PAID ON TIME Additionally, there is NO law that states a consumer can not use a third party, so using that as your excuse is an irrelevant. In fact, the United States Congress has found the whole process so overwhelming that they afford consumers the right to use a third party on their behalf if the consumer so chooses. This is why your statement is so shameful. 

I reserve the right to sue a credit bureau for violations of the Fair Credit Reporting Act and I believe I can prove that you did not use reasonable measures to ensure the accuracy of my credit reports and now you are stalling the process even further. 

I realize disputes can be expensive and it is your job to stall them, but you do so at great risk. Please take notice that this letter dated XX/XX/2022 is formal notice to you that I am requesting that you continue forward with my original investigation request and please send the results to me within 15 days. I therefore legally and lawfully refuse your "" form letter '' thus giving you only 15 days not 30 more. 

I am annoyed and outraged at your accusation and I have researched my rights in regards to my credit file. Please expedite my original request immediately."
49,2022-05-18,"This is the original message that was sent with first complaint. Then the complaint was closed with company providing not correct information and not replying to my complaint. 

"" I have made a purchase but after 3.5 weeks, this purchase was returned. Before making a payment, I waited until the refund was posted and by the time refund posted, credit card company posted a late fee and interest charge. I have contacted them and explained what happened, they have removed the late fee and said they will remove the interest charge but they never did. The interest charge was {$21.00}. After contacting them again, they told me they refunded the interest charge but it was only {$0.00}. I told them the amount was incorrect, however I was told they refunded full amount of interest charge. It takes them 3-5 business days to reply, and by the time I was dealing with this issue, they charged me additional {$18.00} interest charge because I did not pay my bill in full. I tried contacting them, with no help. They told me they will keep adding additional interest until I pay my account in full. I owed nothing on my account except that {$21.00} interest charge and now it's up to {$40.00}. They will not work with me to resolve this issue. '' Here 's the response from the company : "" The account terms are explained in the Credit Card Agreement. When payments aren't received, are made for less than the minimum required, or are received after the due date cutoff time, we'll assess a late fee to the account. In addition, we'll assess a finance charge or minimum interest charge any time the full balance in the regular revolving credit plan is not paid by the payment due date. On XX/XX/2022, we applied a courtesy late fee credit of {$30.00} along with the associated finance charge of {$0.00}. '' My feedback to that response. 
I have stated that you have refunded the late fee, and I am grateful for that, however when you said you refunded the finance charge, it was only {$0.00} and not {$21.00}. If you would have refunded the correct amount, I wouldn't be here, and while we were trying to resolve this, you have charged me additional {$18.00} interest, because I did not pay the initial interest charge. You knew we are trying to resolve this, why would you purposefully charge me additional interested on top of the previous interest? 
I also closed my account over a month ago."
50,2022-04-13,I have been in dispute with Equifax for almost a year about these fraudulent disputes inquires. They have lied numerous times about receiving my documents when they have received them. The FTC reports are attached to this email. So it's no excuse that they can't remove these inquiries
51,2022-04-10,"In accordance with the Fair Credit Reporting act XXXX # XXXX, XXXX # XXXX, XXXX # XXXX, XXXX # XXXX, XXXX XXXX  # XXXX has violated my rights. 

15 U.S.C 1681 section 602 A. States I have the right to privacy. 

XXXX5 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1666B : A creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for any purpose"
52,2022-03-14,"Hello, We bought and closed our house on XX/XX/XXXXXXXX  through a conventional mortgage via Mortgage company : Dovenmuehle Mortgage , Inc . Address : XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX, IL XXXX. 

Our monthly payments also included PMI ( mortgage insurance ). Over the last few months, we have made additional payments towards the principal to bring down our outstanding balance to 75.06 % of loan to value ( LTV ). In addition, the monthly payments have been on time with no delinquencies. In the month of XX/XX/XXXX, I called and requested cancellation of PMI. 

The XXXX tax form 1098 issued to me clearly states, "" If you are current on your loan payments, PMI will automatically terminate on the date the principal balance of your loan is first scheduled to reach 78 % of the original value of the property ''. 

I received a letter dated XX/XX/XXXX stating that I meet the requirements, however I must order a new appraisal which would cost me about {$750.00}. I called the company on XX/XX/XXXX, they said these are based on rules by HUD ( Housing and Urban Development ) and transferred me to them. HUD however states they only deal with FHA loans and not conventional loans. Dovenmuehle continues to give me the run around making me pay {$75.00} per month for PMI. 

It has been less than 6 months since the initial appraisal, it does not make any sense on why should we waste money on another appraisal. Also, the company refuses to tell me at what LTV will they automatically cancel the PMI without requiring another appraisal. 

This is clearly a case of exploitation of the consumer. Please help! 

Thank you!"
55,2016-05-18,I ended my lease with Infiniti XX/XX/2016 through a trade into XXXX. XXXX paid off my final 4 payments and disposition fee for a total of {$2000.00} on XXXX/XXXX/2016. This included 4 payments@XXXX for XXXX - XXXX 2016 and a disposition fee of {$390.00}. I had ACH on this loan and additional payments drafted on XXXX & XXXX as I did not cancel the ACH to avoid any potential credit issues if XXXX did XXXX close my lease on time. I contacted Infiniti in XXXX to see what the hold up was with ending my lease and to seek a refund for the 2 additional payments tha were drafted after the time of XXXX being paid off by XXXX. I was told I needed to remit a final odomometer reading statement to close out my account. This was faxed on XXXX/XXXX/16 & XXXX/XXXX/16. I called several other times within XXXX to XXXX to seek my refund and was advised that it could take XXXX weeks to generate an end of lease lyability statement. I once again called XX/XX/XXXX to seek the refund and was advised that the end of lease statement will be expedited to a Manager as it should have generated by now and I was assured it would be completed by XXXX XXXX. I call again on XXXX XXXX as no such letter has yet been generated. I spoke with another Manager who advised they will seek my refund and try to expedite the letter. As of XX/XX/XXXX still no letter available and no refund received. I was assured by the Manager that they will call me back with an update on XXXX and no call was received. The car was returned over 3 months ago and yet I still do not have a refund for my 2 payments that were overpaid as well as anything else that Infiniti may owe me. Please look into this and help me obtain my refund plus any additional recourse tat I may have against Infiniti. I was a loyal customer of Infiniti for over 10 years and leased XXXX vehicles through them and would have expected to be treated more fair.
57,2022-03-01,"I bought 2 {$100.00} XXXX gift cards at XXXX apparently sold by US Bank. When I went to use them, they would not work. I had to put all my groceries back. I went home and called XXXX and was informed that the cards had been compromised several weeks earlier, but US Bank hadn't bothered to take them off the shelves. It took over an hour, but they finally agreed to send new cards, but refused to refund the activation fees or to overnight the cards. I was told that they would arrive in 14 days."
58,2022-03-08,"I have already sent a request for the immediate removal of the accounts this XX/XX/XXXX but the accounts listed below are still reporting on my credit report and are violating the Federal Law. The Credit Bureau failed to comply with the Fair Credit Reporting Act, 15 USC sections 1681i within the time declared and still continues on reporting unconfirmed information. Please remove the following accounts completely from my Credit Report. 

XXXX XXXX XXXX Date Opened : XX/XX/XXXX Balance Owed : {$4600.00} Chapter XXXX Bankruptcy XXXX Date Filed/Reported : XX/XX/XXXX Chapter XXXX Bankruptcy XXXX Date Filed/Reported : XX/XX/XXXX"
59,2022-03-17,"On XX/XX/XXXX, I went into online banking to submit a payment for my capital one card. Somehow they received the incorrect account number that is completely different from my account information that has been on file for auto pay for the last few years. I also submitted a payment on my wife 's menards capital one card the same day which has a completely separate login and set up a payment on that account as well. My bank called my informing me that they were going to return those payments as they were seeing an invalid account #. I understood this and they said they were going to send those payments back to Capital One. Both payments returned on XX/XX/2022. 

My Wifes Capital One Card Menards card ( I am an authorised user ) : On XX/XX/XXXX, I submitted a payment on my wife 's capital on card and updated the bank account to make sure I entered the correct information. On XX/XX/XXXX, that payment came back as invalid account again even though I submitted the correct bank account information.On XX/XX/XXXX I called capital one and let them know what was going on and at this point they were reporting past due on our credit. I understood there was a process to take to try and resolve the matter so I set up a payment with them over the phone so that there would be a recording with the correct bank information. They were informing me that I was submitting the wrong information online. This payment also came back on invalid account on XX/XX/XXXX. Since XX/XX/XXXX, I have received late charges, interest charges and was reporting over 30 days past due. 

My Capital One Cards : I was originally set up for recurring ach on both of my capital one cards. The {$300.00} that I set up on XX/XX/XXXX was an additional payment and would have been just a principal payment. I was under the assumption that I was still on auto pay with my bank account that I have been used for the past 3 years. They cancelled my auto pay with both my capital one cards that I anticipated would go through on XX/XX/2022. I didn't know they cancelled the auto pay. On XX/XX/XXXX I set up a payment for {$81.00} with them on the phone verbally for one of my cards and a set up a payment with there website with the other card for {$140.00} to withdrawal on XX/XX/2022 with my account that I have on file which is my correct bank account. On XX/XX/XXXX the {$81.00} was returned. On XX/XX/XXXX the {$140.00} was returned. I have received late charges, and interest charges on these accounts. Some late charges have been waived but not all charges have been waived. 

Important Conversations1 : 2 hour phone call. On XX/XX/XXXX, I spoke with multiple representatives. First in regards to my XXXX capital one cards, in which they had me set up payments for one of the cards. The amount for that card wa {$890.00}. They then needed to transfer me to a Senior Account Specialist for my wifes card. The representative was looking into why the payments were coming back. He had to do a zoom with someone and put me on hold. He came back on the line and informed me that they had flagged my bank account as an invalid account and that I needed my bank to send a fax to them in order for me to be able use my bank account with them. I did a XXXX way call with my bank on the line and my bank took down the information to fax to and sent it right away. The representative from capital one let me know that the payments that I had set up after XX/XX/XXXX including the payments that I had set up earlier on the same call would come back as invalid until they unflagged the account. There was nothing I could do about the payment that I had set up on my capital one card earlier as it was already in process. I was told that it could take up to 14 days for them to validate my bank account and to just check back in sometime to see if I could use my bank account again. They provided no follow up call or who I should call. I received notification vial email from capital one on XX/XX/2022 stating that I had a document ready for viewing. I opened up the document and downloaded it. It stated that they verified my bank account information was valid and I could start using the account again. 

Important Conversation 2 : I called Capital One on XX/XX/2022, spoke with someone about my cards, he had no idea as to any issue with the cards. I provided him with my investigation number that was on the letter and he sent me to a Senior Account Manager XXXX. XXXX researched my account and only recognized an investigation on 1 of my cards not on my other card or my wifes card. I had to repeat all information. XXXX confirmed that my bank account that was a valid bank account was flagged and shouldn't have been, however now according to her records my bank was sending the payments bank even though they were providing the correct information. I informed her that was not correct. I actually received documentation from my bank account with the account # they are sending to my bank and it is incorrect even though I provided them with the correct #. She said because this is not their error ( although it really is ) they can't do anything about it. I stated, you removed my bank account that was set up on recurring payments and flagged an account that was a good bank account as an invalid account. She confirmed that and stated that should not have happened and apologized but they couldn ; t do anything about it. She stated that I needed to get my bank back on the line to confirm the bank account information when sending to them was correct. I let her know that I would be able to get my bank on the line to do this on XX/XX/2022 at noon. I set up 3 payments with capital one verbally for all 3 accounts since I got the letter stating I could use my bank account again. I checked my bank account and all 3 payments had gone through. 

Important Conversation 3 : Capital one called and got my bank on a 3 way call. We verified the information coming to my bank was different then the information provided from capital one. Capital one claimed they are sending information with the correct account and my bank is telling them that they are sending a different account number. They ask if my bank did a merger, my bank says no. They conclude without any resolution. I confirm with capital one that I provided the correct account information. They stated that was correct. I confirmed again that they flagged my correct account as an invalid account not allowing me to make payments with that account. They said yes that is correct. I confirm that they are not going to work on the investigation further and not correct my credit bureau reporting past due or waive any fees. They said yes. They recommend me to send a letter to their credit dispute department and provided me with an address to send it to. I am unable to call or email this information. I take down the information and am going to send a dispute for all 3 cards. I am also going to go directly to all 3 credit bureaus and dispute this information as well. There was no resolution on this call."
62,2022-05-28,"Pursuant to 18USC 8, I owe no debt. This company is violating my consumer right to privacy pursuant to 15USC 1681b 2. Company also has NO permission to report ANYTHING using my info pursuant to 15USC 1681 4.I have not supplied proof under the doctoring of the estoppel by silence.Engelhardt v. Graves ( mo ) 281 SW 715,719. I presume that no proof of the alleged debt nor therefore any such debt in fact exists Section 623 ( a ) of the FCRA generally prohibits a person from furnishing inaccurate information to a CRA. The standards for the prohibition differ, depending on whether the person specifies an address for receipt of notices from consumers concerning inaccurate information. If the person specifies such an address, it may not furnish information relating to a consumer to any CRA, if ( a ) the consumer notified the person, at the specified address, that the information is inaccurate, and ( b ) the information is, in fact, inaccurate.18 If the person does not specify such an address, the FCRA prohibits the person from reporting information to a CRA if the furnisher knows or has reasonable cause to believe that the information is inaccurate.19 The statute defines reasonable cause to believe that the information is inaccurate to mean having specific knowledge, other than solely allegations by the consumer, that would cause a reasonable person to have substantial doubts about the accuracy of the information.20 Duty to Implement Reasonable Policies and Procedures Regulation V requires furnishers to establish and implement reasonable written policies and procedures regarding the accuracy and integrity of the consumer information furnished to CRAs.33 Accuracy means that the information the furnisher provides to a CRA correctly : Identifies the appropriate consumer ; Reflects the accounts terms and liability ; and Reflects the consumers performance with respect to the account.34 Integrity means the information the furnisher provides to a CRA : Is substantiated by the furnishers records at the time it is furnished ; Is in a form designed to minimize the likelihood that the information may be incorrectly reflected in a consumer report ; Includes the information in the furnishers possession regarding the credit limit, if applicable ; and Includes any other information in the furnishers possession that the Bureau has determined the absence of which would likely be materially misleading in evaluating a consumers creditworthiness, credit standing, credit capacity, character, general reputation, personal characteristics, or mode of living.35"
64,2022-02-23,"To whom it may concern, The reason for this letter it to dispute multiple unauthorized inquiries on my credit report. On XX/XX/XXXX, I retrieved a copy of my credit report Experian and discovered multiple unauthorized inquiries that I have no knowledge of. 

Because I did not apply for credit with XXXX XXXX XXXX USA INQUIRXXXX DATE : XX/XX/XXXX XXXX XXXX XXXX XXXX INQUIRY DATE : XX/XX/XXXX ; XXXX XXXX XXXX XXXX INQUIRY DATE : XX/XX/XXXX ; XXXX XXXX XXXX INQUIRY DATE : XX/XX/XXXX ; XXXX XXXX INQUIRY DATE : XX/XX/XXXX ; XXXX XXXX INQUIRY DATE : XX/XX/XXXX ; XXXX XXXX USA INQUIRY DATE : XX/XX/XXXX XXXX XXXX XXXX INQUIRY DATE XX/XX/XXXX ; and XXXX XXXX XXXX XXXX XXXX INQUIRY DATE : XX/XX/XXXX, I have also reached out asking that they remove the inquiry from my credit profile. 

Please launch an COMPETENT LEGAL BINDING verifiable AND PROVIDE THE NAME OF EACH PERSON YOU SPOKE TO PROVIDE THE DATES TIME OR ANYTHING PERTAINING TO THIS MULTIPLE UNAUTHORIZED INQUIRERS into XXXX inquiry to determine who authorized it. Upon completion, please provide written correspondence that details the results of your findings. 

If you find that the inquiry is invalid, I am requesting that it be removed from my credit report effective immediately and provide and updated report to my only mailing address that should be listed as XXXX XXXX XXXX XXXX XXXX, MD XXXX, Delete any other addresses listed that should not be on my report effectively immediately. But if XXXX XXXXXXXX XXXX  USA ; XXXX XXXXXXXX XXXX ; XXXX XXXXXXXX XXXX XXXXE ; XXXX XXXX XXXX; XXXX XXXX ; XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  ; and XXXX XXXX XXXX XXXX XXXX, XXXX able to prove that the inquiry is indeed valid, please provide written proof and a description of how the investigation was conducted e-oscar verification or any automatic verification is not warranted. 

Thanks in advance for your prompt attention to this matter."
65,2022-03-24,"On or around XX/XX/2022, my debt card was being denied. I called my bank to find that my bank had my account under review for closure and our funds were frozen ... We were never notified by the bank in anyway. 
Not knowing our funds were frozen, we previously submitted checks to pay bills a few days before I called the bank. As a result, we were charged return check fees on all of our checks by the merchant. 
We were not notified and had no knowledge that our payments would not be honored.. We should not be responsible for the returned check fees and US Bank should pay them. The bank told me "" they do not pay merchant fees ''. 
Also. because of our "" late '' payments, our excellent credit score is now deteriorated through no fault of our own.I called to inquire why our account was being closed, I was not given an answer... only saying 'it was under review '' We did not have a negative balance."
66,2022-02-06,"On XX/XX/2021 I reached out to XXXX XXXX XXXX to remove a late payment reporting because of an error with my bank when my account was compromised. 

On XX/XX/2021 a representative of XXXX XXXX XXXX named XXXX reached out to me via email stating that they have removed the late payment from my account. 

On XX/XX/2021 I sent a follow up email to XXXX from XXXX XXXX XXXX stating that Experian had not removed it and that each time it is disputed with Experian, XXXX  XXXX XXXX marks it as verified and will not adjust the late reporting. 

On XX/XX/2021 XXXX from XXXX XXXX XXXX sent a follow up email stating that it has already been removed and they won't report on a request that comes from the credit bureau."
68,2022-03-12,"Hi, I was scammed a few years ago by someone online. It really hurt me mentally and financially. I actually went into a heavy XXXX. I was scammed by someone online in a gift card scam. The XXXX XXXX credit card was used for this scam. I am unable to access the account anymore. The company should still have my data and be able to see all my purchases. They are gift cards that I would have never bought for myself or anyone else. I was fooled and scammed into buying them. I am admitting that I was the one who bought those cards, but they were not used by me. I was a puppet for that person. He tricked me into buying those cards for him and he redeemed all of them digitally. I think they were XXXX  cards. It's been a few years, so I don't remember which company gift cards and the exact dates I got them. The bank statements should show those purchases and I might also have some useful pics, but not a guarantee to find them. 

I tried to talk with the bankers and told them about what happened. They said they will investigate and get back to me on it. No one got back to me and it's been over a year now! 

This has been hurting my credit score every month for so long. It's stopping me from being approved for a lot of things because my credit barely goes up. 

I will really appreciate it if you guys can help me with this, please."
